order_id,order_date,customer_name,email,country,product,quantity,unit_price,status
ORD-1114,2025-04-26,Bilal Ahmed,bilal.ahmed@example.invalid,Ireland,Monitor Arm,3,157.5,pending
ORD-1167,2025-01-28,Bilal Butt,bilal.butt@example.invalid,PAKISTAN,USB-C Hub,2,183.96,Delivered
ORD-1019,2025-07-11,Ayesha Ahmed,ayesha.ahmed@example.invalid,PAKISTAN,Cable Organiser,2,83.49,Shipped
ORD-1106,2025-04-10,Nadia Qureshi,nadia.qureshi@example.invalid,United Kingdom,Cable Organiser,1,127.46,
ORD-1066,2025-03-16,Sana Butt,sana.butt@example.invalid,United Kingdom,Laptop Stand,2,45.99,cancelled
ORD-1040,2025-02-06,Usman Butt,usman.butt@example.invalid,PAKISTAN,Laptop Stand,2,83.23,cancelled
ORD-1002,2025-03-18,Laila Khan,laila.khan@example.invalid,UK,Desk Lamp,1,23.43,cancelled
ORD-1102,2025-05-06,Ayesha Raza,ayesha.raza@example.invalid,Ireland,USB-C Hub,4,172.46,cancelled
ORD-1079,2025-04-20,Tariq Qureshi,tariq.qureshi@example.invalid,UK,Monitor Arm,5,13.2,cancelled
ORD-1026,2025-02-08,Mariam Butt,mariam.butt@example.invalid,UK,USB-C Hub,1,104.62,Shipped
ORD-1047,2025-05-15,Zara Siddiqui,zara.siddiqui@example.invalid,UK,Webcam 1080p,5,94.94,Delivered
ORD-1095,2025-02-25,Zara Chaudhry,zara.chaudhry@example.invalid,PAKISTAN,Webcam 1080p,1,184.97,cancelled
ORD-1109,2025-02-12,HINA SIDDIQUI,hina.siddiqui@example.invalid,UK,Wireless Mouse,3,150.67,Shipped
ORD-1152,2025-05-25,Nadia Siddiqui,nadia.siddiqui@example.invalid,PAKISTAN,Desk Lamp,3,142.89,Delivered
ORD-1177,2025-07-09,Tariq Sheikh,tariq.sheikh@example.invalid,PAKISTAN,Cable Organiser,1,22.93,Delivered
ORD-1129,2025-01-26,Zara Butt,zara.butt@example.invalid,,USB-C Hub,5,99.57,cancelled
ORD-1009,2025-03-03,HINA SIDDIQUI,-,United Kingdom,Monitor Arm,5,18.09,Shipped
