order_id,order_date,customer_name,email,country,product,quantity,unit_price,status
ORD-1114,26/04/2025,Bilal Ahmed,bilal.ahmed@example.invalid,Ireland,Monitor Arm,3,157.5,pending
ORD-1167,2025-01-28,Bilal Butt,bilal.butt@example.invalid,PAKISTAN,USB-C Hub,2,183.96,Delivered
ORD-1019,2025-07-11,Ayesha Ahmed,ayesha.ahmed@example.invalid,Pakistan,Cable Organiser,2,83.49,Shipped
ORD-1106,2025-04-10,Nadia Qureshi,nadia.qureshi@example.invalid,  United Kingdom,Cable Organiser,1,127.46,null
ORD-1066,2025-03-16,  Sana Butt ,sana.butt@example.invalid,united kingdom,Laptop Stand,2,45.99,cancelled
ORD-1040,2025-02-06,Usman Butt,usman.butt@example.invalid,pakistan,Laptop Stand,2,83.23,cancelled
ORD-1002,2025-03-18,Laila Khan,laila.khan@example.invalid,UK ,Desk Lamp,1,23.43,Cancelled
ORD-1102,06/05/2025,Ayesha Raza,ayesha.raza@example.invalid,Ireland,USB-C Hub,4,172.46,cancelled
ORD-1079,2025-04-20,Tariq Qureshi,tariq.qureshi@example.invalid,UK ,Monitor Arm,5,13.2,cancelled
ORD-1026,2025-02-08,Mariam Butt,mariam.butt@example.invalid,uk,USB-C Hub,1,104.62,shipped
ORD-1047,2025-05-15,Zara Siddiqui,zara.siddiqui@example.invalid,UK ,Webcam 1080p,5,94.94,delivered
ORD-1095,2025-02-25,Zara Chaudhry,zara.chaudhry@example.invalid,pakistan,Webcam 1080p,1,184.97,cancelled
ORD-1109,2025-02-12,HINA SIDDIQUI,hina.siddiqui@example.invalid,UK ,Wireless Mouse,3,150.67,Shipped
ORD-1152,2025-05-25,  Nadia Siddiqui ,nadia.siddiqui@example.invalid,pakistan,Desk Lamp,3,142.89,delivered
ORD-1177,09/07/2025,Tariq Sheikh,tariq.sheikh@example.invalid,PAKISTAN,Cable Organiser,1,22.93,Delivered
ORD-1129,2025-01-26,ZARA BUTT,zara.butt@example.invalid,N/A,USB-C Hub,5,99.57,cancelled
ORD-1009,2025-03-03,Hina Siddiqui,-,United Kingdom,Monitor Arm,5,18.09,Shipped
ORD-1059,2025-06-24,Tariq Ahmed,tariq.ahmed@example.invalid,Pakistan,USB-C Hub,4,181.84,shipped
ORD-1115,2025-04-18,Zara Ahmed,zara.ahmed@example.invalid,N/A,Cable Organiser,1,23.15,Pending
ORD-1014,23/01/2025,Laila Siddiqui,laila.siddiqui@example.invalid,UK ,Monitor Arm,2,176.03,delivered
ORD-1024,2025-01-26,Kamran Malik,kamran.malik@example.invalid,uk,Mechanical Keyboard,5,115.0,pending
ORD-1110,2025-03-07,Faisal Qureshi,faisal.qureshi@example.invalid,  United Kingdom,USB-C Hub,1,93.41,shipped
ORD-1153,2025-04-07,Laila Ahmed,laila.ahmed@example.invalid,uk,Desk Lamp,2,158.05,cancelled
ORD-1130,2025-07-23,  Tariq Qureshi ,tariq.qureshi@example.invalid,UK ,Laptop Stand,5,34.4,pending
ORD-1108,2025-05-27,Omar Raza,omar.raza@example.invalid,united kingdom,Wireless Mouse,3,163.16,cancelled
ORD-1062,2025-03-09,  LAILA CHAUDHRY ,laila.chaudhry@example.invalid,pakistan,Laptop Stand,4,45.21,Cancelled
