order_id,order_date,customer_name,email,country,product,quantity,unit_price,status,discount_code
ORD-1125,2025-11-11,Kamran Siddiqui,kamran.siddiqui@example.invalid,  ,Webcam 1080p,1,78.55,delivered, SAVE10
ORD-1039,2025-11-29,BILAL MALIK,bilal.malik@example.invalid,pakistan,Desk Lamp,4,67.59,Cancelled,WELCOME
ORD-1134,2025-09-13,Bilal Butt,bilal.butt@example.invalid,pakistan,Wireless Mouse,null,41.68,SHIPPED,
ORD-1031,13/02/2026,Usman Malik,usman.malik@example.invalid,uk,USB-C Hub ,4,48.87,-,save10
ORD-1064,2025-12-13,RABIA AHMED,rabia.ahmed@example.invalid,pakistan,Laptop Stand,2,52.07,Shipped,welcome
ORD-1139,16/01/2026,Hina Raza,hina.raza@example.invalid,united kingdom,Webcam 1080p,4,169.93,Pending,
ORD-1124,2025-09-11,Laila Ahmed,laila.ahmed@example.invalid,Pakistan,Mechanical Keyboard,5,17.63,Delivered,
ORD-1110,09/06/2025,  Tariq Malik ,tariq.malik@example.invalid,Pakistan,Laptop Stand,1,160.98,shipped,
ORD-1057,2025-11-03,Ayesha Chaudhry,-,pakistan,Cable Organiser,4,136.1,Delivered,
ORD-1080,10/10/2025,Omar Khan,omar.khan@example.invalid,pakistan,Monitor Arm,4,134.58,Delivered,WELCOME
ORD-1062,01/01/2026,Usman Qureshi,usman.qureshi@example.invalid,ireland,Mechanical Keyboard,2,153.49,Cancelled,WELCOME
ORD-1132,20/10/2025,Sana Butt,sana.butt@example.invalid,uk,Cable Organiser,3,55.67,pending,welcome
ORD-1024,2026-01-08,Rabia Chaudhry,rabia.chaudhry@example.invalid,United Kingdom,Wireless Mouse,5,138.3,shipped,save10
ORD-1052,2025-11-11,Ayesha Sheikh,ayesha.sheikh@example.invalid,uk,Desk Lamp,3,42.47,Shipped,
ORD-1078,2025-09-01,OMAR CHAUDHRY,omar.chaudhry@example.invalid,uk,Desk Lamp,3,30.59,Delivered,
ORD-1002,01/31/2026,TARIQ AHMED,tariq.ahmed@example.invalid,uk,Mechanical Keyboard,5,104.44,Shipped,WELCOME
ORD-1117,2025-12-29,Mariam Sheikh,mariam.sheikh@example.invalid,uk,USB-C Hub,1,68.88,shipped,WELCOME
ORD-1018,2025-12-23,Tariq Butt,tariq.butt@example.invalid,Ireland,Cable Organiser,4,24.5,cancelled,welcome
ORD-1103,2025-10-05,  Mariam Butt ,mariam.butt@example.invalid,  ,laptop stand,4,  ,delivered, SAVE10
ORD-1085,2025-08-11,Tariq Farooq,tariq.farooq@example.invalid,uk,USB-C Hub,4,89.57,Pending,
ORD-1098,2025-11-03,Zara Siddiqui,N/A,,Monitor Arm,4,107.96,Pending,
ORD-1148,2025-11-17,Ayesha Malik,ayesha.malik@example.invalid,united kingdom,  Cable Organiser,2,64.24,cancelled,
ORD-1044,2026-01-04,Imran Raza,imran.raza@example.invalid,Ireland,desk lamp,5,114.87,Cancelled,welcome
